series,date,index,index_sa
growth_mom,2025-02-01,-6.789,-0.338
growth_yoy,2025-02-01,1.547,1.47
abs,2025-03-01,138.119,135.039
growth_mom,2025-03-01,9.32,1.762
growth_yoy,2025-03-01,3.194,3.192
abs,2025-04-01,127.095,134.74
growth_mom,2025-04-01,-7.981,-0.221
growth_yoy,2025-04-01,2.716,2.802
abs,2025-05-01,128.492,132.915
growth_mom,2025-05-01,1.099,-1.354
growth_yoy,2025-05-01,0.297,0.309
abs,2025-06-01,138.097,136.424
growth_mom,2025-06-01,7.475,2.64
growth_yoy,2025-06-01,2.87,2.714
abs,2025-07-01,137.747,140.64
growth_mom,2025-07-01,-0.254,3.09
growth_yoy,2025-07-01,4.164,4.122
abs,2025-08-01,141.011,140.18
growth_mom,2025-08-01,2.37,-0.326
growth_yoy,2025-08-01,4.844,4.885
abs,2025-09-01,140.978,138.962
growth_mom,2025-09-01,-0.023,-0.869
growth_yoy,2025-09-01,5.689,5.631
abs,2025-10-01,143.992,139.881
growth_mom,2025-10-01,2.138,0.662
growth_yoy,2025-10-01,6.046,6.106
abs,2025-11-01,142.341,138.041
growth_mom,2025-11-01,-1.146,-1.315
growth_yoy,2025-11-01,4.256,4.203
abs,2025-12-01,142.556,139.382
growth_mom,2025-12-01,0.151,0.971
growth_yoy,2025-12-01,4.788,4.912
